SARG.Seq.ID	New.Subtype	New.New.Subtype	New.Type	Family	subfamily	subfamily2	Seq.ID.in.CARD (need to redo)	
CAA08847	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
CAI46944	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
CAJ32498	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
CAM88357	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
gi|549637587|ref|WP_022542381.1|	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
gi|645909098|ref|WP_025464514.1|	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
gi|685918340|ref|WP_031655082.1|	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
gi|690976387|ref|WP_031950771.1|	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
gi|691072069|ref|WP_032013222.1|	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
gi|730658257|ref|WP_034065477.1|	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
gi|927928807|gb|ALE32149.1|	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
HM036080.1.gene1.p01	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
U12338.3.gene5.p01	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	
gi|504869973|ref|WP_015057075.1|	AAC(3)-Ib	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
gi|695737392|ref|WP_032663836.1|	AAC(3)-Ib	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
L06157.1.gene1.p01	AAC(3)-Ib	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|AAA88422.1|ARO:3002530|AAC(3)-Ib	
AF355189.1.gene2.p01	AAC(3)-Ib/AAC(6')-Ib''	AAC(3)-Ib/AAC(6')-Ib''	aminoglycoside	Enzymatic inactivation	Acetyltransferases		gb|AAL82588.1|ARO:3002600|AAC(3)-Ib/AAC(6')-Ib''	
AJ511268.1.gene3.p01	AAC(3)-Ic	AAC(3)-Ic	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|CAD53575.1|ARO:3002531|AAC(3)-Ic	
gi|489247580|ref|WP_003155734.1|	AAC(3)-Id	AAC(3)-Id	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
gi|639206639|ref|WP_024544906.1|	AAC(3)-Id	AAC(3)-Id	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
gi|746038505|ref|WP_039110078.1|	AAC(3)-Id	AAC(3)-Id	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
AY463797.7.gene13.p01	AAC(3)-Id	AAC(3)-Id	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|AAR21614.1|ARO:3002529|AAC(3)-Id	
X13543.1.gene1.p1	AAC(3)-IIa	AAC(3)-II	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|CAA31895.1|ARO:3002533|AAC(3)-IIa	
M97172.1.gene1.p01	AAC(3)-IIb	AAC(3)-II	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|AAA26548.1|ARO:3002534|AAC(3)-IIb	
X54723.1.gene1.p01	AAC(3)-IIc	AAC(3)-II	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|CAA38525.1|ARO:3002535|AAC(3)-IIc	
AAA19915	AAC(3)-IId	AAC(3)-II	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
JE0138	AAC(3)-IId	AAC(3)-II	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
YP_001966247	AAC(3)-IId	AAC(3)-II	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|ABS70977.1|ARO:3004623|AAC(3)-IId	
AAB20442	AAC(3)-IIe	AAC(3)-II	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
AAN34370	AAC(3)-IIe	AAC(3)-II	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
ACI02996	AAC(3)-IIe	AAC(3)-II	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
gi|690685601|ref|WP_031944095.1|	AAC(3)-IIe	AAC(3)-II	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
gb|ABS70978.1|ARO:3004621|AAC(3)-IIe	AAC(3)-IIe	AAC(3)-II	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|ABS70978.1|ARO:3004621|AAC(3)-IIe	
X55652.1.gene2.p01	AAC(3)-IIIa	AAC(3)-IIIa	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|CAA39184.1|ARO:3002536|AAC(3)-IIIa	
gb|KSC15183.1|ARO:3002537|AAC(3)-IIIb	AAC(3)-IIIb	AAC(3)-IIIb	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|KSC15183.1|ARO:3002537|AAC(3)-IIIb	
gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	AAC(3)-IIIc	AAC(3)-IIIc	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	
ABB43029	AAC(3)-IV	AAC(3)-IV	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|ABB43029.1|ARO:3002539|AAC(3)-IV	
AY216678.1.gene1.p01	AAC(3)-IV	AAC(3)-IV	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
gi|446015186|ref|WP_000093041.1|	AAC(3)-IV	AAC(3)-IV	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
X01385.gene.p01	AAC(3)-IV	AAC(3)-IV	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
M55427.1.gene1.p01	AAC(3)-IXa	AAC(3)-IXa	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|AAA25334.1|ARO:3002543|AAC(3)-IXa	
NC_009838.1.5616796.p01	AAC(3)-VIa	AAC(3)-VIa	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
M88012.1.gene2.p01	AAC(3)-VIa	AAC(3)-VIa	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|AAA16194.1|ARO:3002540|AAC(3)-VIa	
M22999.1.gene2.p01	AAC(3)-VIIa	AAC(3)-VIIa	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|AAA88552.1|ARO:3002541|AAC(3)-VIIa	
CAF33325	AAC(3)-VIIIa	AAC(3)-VIIIa	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
CAG34024	AAC(3)-VIIIa	AAC(3)-VIIIa	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
CAH58703	AAC(3)-VIIIa	AAC(3)-VIIIa	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
M55426.1.gene1.p01	AAC(3)-VIIIa	AAC(3)-VIIIa	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|AAA26685.1|ARO:3002542|AAC(3)-VIIIa	
AB028210.1.gene2.p01	AAC(3)-Xa	AAC(3)-Xa	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)	gb|BAA78619.1|ARO:3002544|AAC(3)-Xa	
gb|WP_064190968.1|ARO:3002583|AAC(6')-29a	AAC(6')-29a	AAC(6')-29a	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|WP_064190968.1|ARO:3002583|AAC(6')-29a	
gb|WP_064190969.1|ARO:3002584|AAC(6')-29b	AAC(6')-29b	AAC(6')-29b	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|WP_064190969.1|ARO:3002584|AAC(6')-29b	
AJ584652.2.gene5.p01	AAC(6')-30/AAC(6')-Ib' fusion protein	AAC(6')-30/AAC(6')-Ib' fusion protein	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|CAE48335.2|ARO:3002599|AAC(6')-30/AAC(6')-Ib'	
AM283489.1.gene3.p01	AAC(6')-31	AAC(6')-IIa-32	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|CAK55557.1|ARO:3002585|AAC(6')-31	
AM283490.1.gene4.p01	AAC(6')-31	AAC(6')-IIa-32	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
gi|939369456|ref|WP_054914207.1|	AAC(6')-31	AAC(6')-IIa-32	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
gi|950181216|ref|WP_057228652.1|	AAC(6')-31	AAC(6')-IIa-32	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
gi|950228232|ref|WP_057272322.1|	AAC(6')-31	AAC(6')-IIa-32	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
gi|959688383|ref|WP_058124867.1|	AAC(6')-31	AAC(6')-IIa-32	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
EF614235.1.gene3.p01	AAC(6')-32	AAC(6')-IIa-32	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|ABR10839.1|ARO:3002586|AAC(6')-32	
JN596280.1.gene2.p01	AAC(6')-33	AAC(6')-33	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AEZ05106.1|ARO:3002587|AAC(6')-33	
gb|APB03223.1|ARO:3003989|AAC(6')-34	AAC(6')-34	AAC(6')-34	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|APB03223.1|ARO:3003989|AAC(6')-34	
AY289608.1.gene3.p01	AAC(6')-I30	AAC(6')-I30	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAP43642.1|ARO:3002588|AAC(6')-I30	
AAG45714	AAC(6')-Ia	AAC(6')-Ia	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
AB061794.1.gene2.p01	AAC(6')-Ia	AAC(6')-Ia	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAA98298.1|ARO:3002545|AAC(6')-Ia	
gb|AAL20537.1|ARO:3002571|AAC(6')-Iaa	AAC(6')-Iaa	AAC(6')-Iaa	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAL20537.1|ARO:3002571|AAC(6')-Iaa	
AB119105.1.gene1.p01	AAC(6')-Iad	AAC(6')-Iad	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|BAD12078.1|ARO:3002572|AAC(6')-Iad	
AB104852.1.gene3.p01	AAC(6')-Iae	AAC(6')-Iae	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|BAD14386.1|ARO:3002573|AAC(6')-Iae	
AB462903.1.gene2.p01	AAC(6')-Iaf	AAC(6')-Iaf	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|BAH66386.1|ARO:3002574|AAC(6')-Iaf	
gb|BAN78519.1|ARO:3004638|AAC(6')-Iag	AAC(6')-Iag	AAC(6')-Iag	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|BAN78519.1|ARO:3004638|AAC(6')-Iag	
EU886977.1.gene2.p01	AAC(6')-Iai	AAC(6')-Iai	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|ACI28880.1|ARO:3002575|AAC(6')-Iai	
gb|BAM46120.1|ARO:3003677|AAC(6')-Iaj	AAC(6')-Iaj	AAC(6')-Iaj	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|BAM46120.1|ARO:3003677|AAC(6')-Iaj	
gb|BAO21229.1|ARO:3003199|AAC(6')-Iak	AAC(6')-Iak	AAC(6')-Iak	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|BAO21229.1|ARO:3003199|AAC(6')-Iak	
gb|BAQ22025.1|ARO:3003200|AAC(6')-Ian	AAC(6')-Ian	AAC(6')-Ian	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|BAQ22025.1|ARO:3003200|AAC(6')-Ian	
JQ808129.1.gene1.p01	AAC(6')-Ib	AAC(6')-Ib	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	
gb|AAT74613.1|ARO:3003676|AAC(6')-Ib'	AAC(6')-Ib'	AAC(6')-Ib'	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAT74613.1|ARO:3003676|AAC(6')-Ib'	
ABC54722	AAC(6')-Ib10	AAC(6')-Ib7-9-10	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
M23634.1.gene1.p1	AAC(6')-Ib10	AAC(6')-Ib7-9-10	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
U59183.1.gene2.p01	AAC(6')-Ib10	AAC(6')-Ib7-9-10	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAC46343.1|ARO:3002581|AAC(6')-Ib10	
AY136758.1.gene3.p01	AAC(6')-Ib11	AAC(6')-Ib11	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAN41403.1|ARO:3002582|AAC(6')-Ib11	
AF318077.1.gene1.p01	AAC(6')-Ib3	AAC(6')-Ib3	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|ACS44715.1|ARO:3002576|AAC(6')-Ib3	
AF231133.1.gene2.p01	AAC(6')-Ib4	AAC(6')-Ib4	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAL38577.1|ARO:3002577|AAC(6')-Ib4	
AAK51920	AAC(6')-Ib7	AAC(6')-Ib7-9-10	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
AAT70791	AAC(6')-Ib7	AAC(6')-Ib7-9-10	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
ABG77519	AAC(6')-Ib7	AAC(6')-Ib7-9-10	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
AF479774.1.gene5.p01	AAC(6')-Ib7	AAC(6')-Ib7-9-10	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
NP_863005	AAC(6')-Ib7	AAC(6')-Ib7-9-10	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
YP_002791392	AAC(6')-Ib7	AAC(6')-Ib7-9-10	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	AAC(6')-Ib7	AAC(6')-Ib7-9-10	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	
gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	AAC(6')-Ib8	AAC(6')-Ib8	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	
AB715422.1.gene3.p01	AAC(6')-Ib9	AAC(6')-Ib7-9-10	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
AF043381.1.gene2.p01	AAC(6')-Ib9	AAC(6')-Ib7-9-10	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAD02244.1|ARO:3002580|AAC(6')-Ib9	
DQ303918.1.gene1.p01	AAC(6')-Ib-cr	AAC(6')-Ib-cr	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|ABC17627.1|ARO:3002547|AAC(6')-Ib-cr	
FJ503047.1.gene1.p01	AAC(6')-Ib-Hangzhou	AAC(6')-Ib-Hangzhou	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|ACL37342.1|ARO:3002592|AAC(6')-Ib-Hangzhou	
AB164230.1.gene1.p01	AAC(6')-Ib-SK	AAC(6')-Ib-SK	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|BAD11815.1|ARO:3002593|AAC(6')-Ib-SK	
EU085533.1.gene1.p01	AAC(6')-Ib-Suzhou	AAC(6')-Ib-Suzhou	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|ABU55430.1|ARO:3002591|AAC(6')-Ib-Suzhou	
M94066.1.gene1.p01	AAC(6')-Ic	AAC(6')-Ic	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAA26549.1|ARO:3002549|AAC(6')-Ic	
BAH18719	AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ie-APH(2'')-Ia	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
CAD60196	AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ie-APH(2'')-Ia	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ie-APH(2'')-Ia	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	
X55353.1.gene1.p01	AAC(6')-If	AAC(6')-If	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|CAA39038.1|ARO:3002553|AAC(6')-If	
ZP_03822933	AAC(6')-Ig	AAC(6')-Ig	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
L09246.1.gene1.p01	AAC(6')-Ig	AAC(6')-Ig	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAA21889.1|ARO:3002554|AAC(6')-Ig	
L29044.1.gene1.p01	AAC(6')-Ih	AAC(6')-Ih	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAC41391.1|ARO:3002555|AAC(6')-Ih	
L12710.gene.p01	AAC(6')-Ii	AAC(6')-Ii	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAB63533.1|ARO:3002556|AAC(6')-Ii	
M29695.1.gene2.p01	AAC(6')-IIa	AAC(6')-IIa-32	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAM92464.1|ARO:3002594|AAC(6')-IIa	
gi|638916062|ref|WP_024437054.1|	AAC(6')-IIa	AAC(6')-IIa-32	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
gi|959843707|ref|WP_058131000.1|	AAC(6')-IIa	AAC(6')-IIa-32	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
gi|959846751|ref|WP_058132760.1|	AAC(6')-IIa	AAC(6')-IIa-32	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')		
L06163.1.gene1.p01	AAC(6')-IIb	AAC(6')-IIb	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAA25680.1|ARO:3002595|AAC(6')-IIb	
AF162771.1.gene2.p01	AAC(6')-IIc	AAC(6')-IIa-32	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAD46626.1|ARO:3002596|AAC(6')-IIc	
AJ584700.2.gene1.p01	AAC(6')-Iid	AAC(6')-Iid	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|CAE50925.1|ARO:3002589|AAC(6')-Iid	
AJ584701.2.gene1.p01	AAC(6')-Iih	AAC(6')-Iih	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|CAE50926.1|ARO:3002590|AAC(6')-Iih	
L29045.1.gene1.p01	AAC(6')-Ij	AAC(6')-Ij	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAC41392.1|ARO:3002557|AAC(6')-Ij	
L29510.1.gene1.p01	AAC(6')-Ik	AAC(6')-Ik	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAA87229.1|ARO:3002558|AAC(6')-Ik	
gb|AAA90937.1|ARO:3004635|AAC(6')-Il	AAC(6')-Il	AAC(6')-Il	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAA90937.1|ARO:3004635|AAC(6')-Il	
AF337947.1.gene2.p01	AAC(6')-Im	AAC(6')-Im	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAK63041.1|ARO:3004629|AAC(6')-Im	
Z54241.1.gene2.p01	AAC(6')-Ip	AAC(6')-Ip	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|CAA91010.1|ARO:3002559|AAC(6')-Ip	
AF047556.1.gene1.p01	AAC(6')-Iq	AAC(6')-Iq	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAC25500.1|ARO:3002560|AAC(6')-Iq	
AF031326.1.gene1.p1	AAC(6')-Ir	AAC(6')-Ir	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAD03490.1|ARO:3002561|AAC(6')-Ir	
AF031327.1.gene1.p1	AAC(6')-Is	AAC(6')-Is	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAD03491.1|ARO:3002562|AAC(6')-Is	
AB116646.1.gene1.p01	AAC(6')-Isa	AAC(6')-Isa	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|BAD10948.2|ARO:3002563|AAC(6')-Isa	
AF031328.1.gene1.p1	AAC(6')-It	AAC(6')-It	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAD03492.1|ARO:3002564|AAC(6')-It	
AF031329.1.gene1.p1	AAC(6')-Iu	AAC(6')-Iu	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAD03493.1|ARO:3002565|AAC(6')-Iu	
AF031330.1.gene1.p1	AAC(6')-Iv	AAC(6')-Iv	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAD03494.1|ARO:3002566|AAC(6')-Iv	
AF031331.1.gene1.p1	AAC(6')-Iw	AAC(6')-Iw	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAD03495.1|ARO:3002567|AAC(6')-Iw	
AF031332.1.gene1.p1	AAC(6')-Ix	AAC(6')-Ix	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAD03496.1|ARO:3002568|AAC(6')-Ix	
AF144880.1.gene1.p01	AAC(6')-Iy	AAC(6')-Iy	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAF03531.1|ARO:3002569|AAC(6')-Iy	
AF140221.1.gene1.p1	AAC(6')-Iz	AAC(6')-Iz	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AAD52985.1|ARO:3002570|AAC(6')-Iz	
gb|AEA07977.1|ARO:3004641|aacA43	aacA43	aacA43	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(6')	gb|AEA07977.1|ARO:3004641|aacA43	
AY712687.1.gene1.p01	aad(6)	ANT(6)	aminoglycoside	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	gb|AAU10334.1|ARO:3002628|aad(6)	
AJ489618.1.orf2.gene.p01	aad(6)	ANT(6)	aminoglycoside	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)		
AM410044.gene9.p01	aad(6)	ANT(6)	aminoglycoside	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)		
NC_006663.1.orf0.gene.p01	aad(6)	ANT(6)	aminoglycoside	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)		
AB104852.1.gene4.p01	aadA	aadA-ANT(3'')-IIa	aminoglycoside	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	gb|AAO49597.1|ARO:3002601|aadA	
